Machine_ID,Location_Type,Date,Product_ID,Product_Name,Category,Units_Sold,Current_Stock_Level,Stockout_Flag,Day_of_Week,Event_Flag,Lead_Time_Days
M003,Singapore Management University,2025-02-01,P15,Lipton Iced Tea,Tea,6,3,0,Saturday,0,3
M002,Orchard Road,2025-02-24,P08,Milo,Malt,9,4,0,Monday,0,1
M002,Orchard Road,2025-01-18,P04,Fanta,Soda,8,14,0,Saturday,0,3
M003,Singapore Management University,2025-01-02,P08,Milo,Malt,7,8,0,Thursday,0,2
M004,Khoo Teck Puat Hospital,2025-01-22,P10,Green Tea,Tea,2,0,1,Wednesday,0,2
M001,Changi Airport,2025-01-23,P05,100Plus,Isotonic,12,6,0,Thursday,0,2
M002,Orchard Road,2025-01-04,P09,Fuze Tea,Tea,8,12,0,Saturday,0,3
M002,Orchard Road,2025-01-06,P06,Pokka Soursop,Juice,6,1,0,Monday,0,2
M005,East Coast Park,2025-01-12,P09,Fuze Tea,Tea,4,5,0,Sunday,1,2
M002,Orchard Road,2025-01-27,P01,Coca-Cola,Soda,6,9,1,Monday,0,2
M002,Orchard Road,2025-02-27,P01,Coca-Cola,Soda,11,5,0,Thursday,0,3
M005,East Coast Park,2025-01-26,P06,Pokka Soursop,Juice,2,3,0,Sunday,0,3
M002,Orchard Road,2025-02-23,P08,Milo,Malt,9,14,1,Sunday,0,1
M004,Khoo Teck Puat Hospital,2025-02-27,P02,Pepsi,Soda,4,10,0,Thursday,1,3
M001,Changi Airport,2025-02-03,P09,Fuze Tea,Tea,4,1,0,Monday,0,1
M001,Changi Airport,2025-01-01,P03,Sprite,Soda,6,6,0,Wednesday,0,3
M002,Orchard Road,2025-01-30,P01,Coca-Cola,Soda,10,2,0,Thursday,0,1
M002,Orchard Road,2025-01-17,P12,Nestea Iced Tea,Tea,4,13,1,Friday,0,3
M001,Changi Airport,2025-01-21,P08,Milo,Malt,7,4,0,Tuesday,0,1
M001,Changi Airport,2025-01-18,P01,Coca-Cola,Soda,8,6,0,Saturday,0,3
M005,East Coast Park,2025-01-14,P08,Milo,Malt,3,8,0,Tuesday,0,3
M005,East Coast Park,2025-01-23,P05,100Plus,Isotonic,4,6,0,Thursday,0,3
M004,Khoo Teck Puat Hospital,2025-02-13,P03,Sprite,Soda,0,1,1,Thursday,0,2
M004,Khoo Teck Puat Hospital,2025-02-24,P08,Milo,Malt,4,12,0,Monday,0,1
M005,East Coast Park,2025-01-16,P09,Fuze Tea,Tea,1,11,0,Thursday,0,2
M003,Singapore Management University,2025-02-03,P08,Milo,Malt,5,2,0,Monday,0,1
M005,East Coast Park,2025-02-18,P07,Yeo’s Grass Jelly,Herbal,1,4,0,Tuesday,0,3
M002,Orchard Road,2025-02-26,P07,Yeo’s Grass Jelly,Herbal,3,4,0,Wednesday,0,1
M002,Orchard Road,2025-01-14,P15,Lipton Iced Tea,Tea,3,1,0,Tuesday,0,1
M001,Changi Airport,2025-02-22,P02,Pepsi,Soda,11,11,1,Saturday,0,1
M004,Khoo Teck Puat Hospital,2025-02-12,P11,A&W Root Beer,Soda,2,6,1,Wednesday,1,3
M002,Orchard Road,2025-01-13,P12,Nestea Iced Tea,Tea,6,7,1,Monday,0,1
M005,East Coast Park,2025-02-20,P07,Yeo’s Grass Jelly,Herbal,3,9,0,Thursday,0,1
M002,Orchard Road,2025-02-18,P14,Nestle Teh Tarik,Tea,7,5,1,Tuesday,0,3
M002,Orchard Road,2025-01-20,P04,Fanta,Soda,8,12,0,Monday,0,2
M003,Singapore Management University,2025-01-17,P14,Nestle Teh Tarik,Tea,4,14,0,Friday,0,1
M003,Singapore Management University,2025-02-03,P12,Nestea Iced Tea,Tea,4,7,0,Monday,0,1
M001,Changi Airport,2025-01-03,P05,100Plus,Isotonic,8,7,1,Friday,0,2
M004,Khoo Teck Puat Hospital,2025-01-24,P02,Pepsi,Soda,4,5,0,Friday,0,2
M005,East Coast Park,2025-01-18,P01,Coca-Cola,Soda,3,2,0,Saturday,0,2
M003,Singapore Management University,2025-02-09,P03,Sprite,Soda,7,12,0,Sunday,0,1
M003,Singapore Management University,2025-02-28,P12,Nestea Iced Tea,Tea,4,4,0,Friday,0,2
M005,East Coast Park,2025-01-07,P13,Chrysanthemum Tea,Herbal,2,12,1,Tuesday,0,3
M002,Orchard Road,2025-02-11,P13,Chrysanthemum Tea,Herbal,7,1,0,Tuesday,0,1
M002,Orchard Road,2025-01-12,P03,Sprite,Soda,6,13,0,Sunday,0,3
M004,Khoo Teck Puat Hospital,2025-02-03,P10,Green Tea,Tea,3,2,0,Monday,0,2
M004,Khoo Teck Puat Hospital,2025-01-28,P02,Pepsi,Soda,4,13,0,Tuesday,0,2
M003,Singapore Management University,2025-01-04,P04,Fanta,Soda,7,5,0,Saturday,0,3
M002,Orchard Road,2025-01-18,P07,Yeo’s Grass Jelly,Herbal,8,14,1,Saturday,0,3
M005,East Coast Park,2025-02-21,P01,Coca-Cola,Soda,2,2,0,Friday,0,2
M002,Orchard Road,2025-02-15,P03,Sprite,Soda,2,3,0,Saturday,0,3
M005,East Coast Park,2025-01-15,P03,Sprite,Soda,3,14,0,Wednesday,0,3
M001,Changi Airport,2025-01-03,P07,Yeo’s Grass Jelly,Herbal,7,11,0,Friday,0,3
M005,East Coast Park,2025-01-16,P13,Chrysanthemum Tea,Herbal,1,9,1,Thursday,0,1
M001,Changi Airport,2025-02-04,P12,Nestea Iced Tea,Tea,6,7,0,Tuesday,0,3
M004,Khoo Teck Puat Hospital,2025-01-08,P07,Yeo’s Grass Jelly,Herbal,3,1,0,Wednesday,0,1
M004,Khoo Teck Puat Hospital,2025-01-24,P09,Fuze Tea,Tea,2,2,0,Friday,0,2
M001,Changi Airport,2025-01-14,P07,Yeo’s Grass Jelly,Herbal,6,5,0,Tuesday,0,2
M005,East Coast Park,2025-02-23,P06,Pokka Soursop,Juice,4,1,0,Sunday,0,1
M005,East Coast Park,2025-01-17,P05,100Plus,Isotonic,2,14,0,Friday,0,1
M001,Changi Airport,2025-01-25,P01,Coca-Cola,Soda,11,5,1,Saturday,0,3
M001,Changi Airport,2025-01-24,P04,Fanta,Soda,8,14,0,Friday,0,1
M002,Orchard Road,2025-01-10,P01,Coca-Cola,Soda,5,0,0,Friday,0,1
M001,Changi Airport,2025-01-30,P03,Sprite,Soda,7,1,1,Thursday,0,2
M002,Orchard Road,2025-02-19,P09,Fuze Tea,Tea,5,6,0,Wednesday,1,1
M003,Singapore Management University,2025-01-03,P11,A&W Root Beer,Soda,8,14,0,Friday,0,2
M004,Khoo Teck Puat Hospital,2025-01-28,P07,Yeo’s Grass Jelly,Herbal,6,14,0,Tuesday,0,2
M002,Orchard Road,2025-02-27,P02,Pepsi,Soda,7,9,0,Thursday,0,3
M005,East Coast Park,2025-01-12,P12,Nestea Iced Tea,Tea,5,12,0,Sunday,0,2
M005,East Coast Park,2025-02-05,P10,Green Tea,Tea,2,2,0,Wednesday,0,3
M005,East Coast Park,2025-01-22,P10,Green Tea,Tea,4,8,0,Wednesday,0,3
M005,East Coast Park,2025-02-04,P03,Sprite,Soda,1,6,0,Tuesday,0,3
M005,East Coast Park,2025-02-27,P10,Green Tea,Tea,2,3,0,Thursday,0,2
M004,Khoo Teck Puat Hospital,2025-01-20,P10,Green Tea,Tea,5,8,0,Monday,0,2
M002,Orchard Road,2025-01-15,P15,Lipton Iced Tea,Tea,12,5,0,Wednesday,1,2
M005,East Coast Park,2025-02-23,P01,Coca-Cola,Soda,2,4,0,Sunday,0,2
M002,Orchard Road,2025-01-23,P01,Coca-Cola,Soda,2,13,1,Thursday,0,1
M005,East Coast Park,2025-02-07,P12,Nestea Iced Tea,Tea,3,14,0,Friday,0,2
M001,Changi Airport,2025-02-08,P13,Chrysanthemum Tea,Herbal,7,8,1,Saturday,0,1
M001,Changi Airport,2025-01-05,P10,Green Tea,Tea,4,6,0,Sunday,0,3
M002,Orchard Road,2025-02-23,P03,Sprite,Soda,10,9,0,Sunday,0,1
M003,Singapore Management University,2025-01-20,P01,Coca-Cola,Soda,4,3,0,Monday,0,3
M004,Khoo Teck Puat Hospital,2025-02-06,P06,Pokka Soursop,Juice,4,0,0,Thursday,0,3
M004,Khoo Teck Puat Hospital,2025-01-15,P13,Chrysanthemum Tea,Herbal,3,1,0,Wednesday,0,2
M001,Changi Airport,2025-01-29,P08,Milo,Malt,6,2,0,Wednesday,1,1
M001,Changi Airport,2025-02-02,P14,Nestle Teh Tarik,Tea,9,14,0,Sunday,0,3
M004,Khoo Teck Puat Hospital,2025-02-13,P08,Milo,Malt,4,13,0,Thursday,0,2
M002,Orchard Road,2025-02-24,P06,Pokka Soursop,Juice,7,5,1,Monday,0,2
M002,Orchard Road,2025-01-01,P13,Chrysanthemum Tea,Herbal,5,9,0,Wednesday,0,2
M001,Changi Airport,2025-01-08,P01,Coca-Cola,Soda,8,3,0,Wednesday,0,2
M005,East Coast Park,2025-02-22,P12,Nestea Iced Tea,Tea,2,9,0,Saturday,0,2
M001,Changi Airport,2025-01-09,P12,Nestea Iced Tea,Tea,7,10,1,Thursday,0,2
M003,Singapore Management University,2025-01-04,P11,A&W Root Beer,Soda,5,1,0,Saturday,0,3
M003,Singapore Management University,2025-02-14,P04,Fanta,Soda,6,8,0,Friday,0,2
M005,East Coast Park,2025-01-07,P14,Nestle Teh Tarik,Tea,1,11,0,Tuesday,0,1
M004,Khoo Teck Puat Hospital,2025-02-04,P11,A&W Root Beer,Soda,4,13,0,Tuesday,0,1
M005,East Coast Park,2025-01-03,P09,Fuze Tea,Tea,2,7,0,Friday,0,1
M002,Orchard Road,2025-01-29,P12,Nestea Iced Tea,Tea,4,4,0,Wednesday,0,3
M002,Orchard Road,2025-02-17,P01,Coca-Cola,Soda,3,10,0,Monday,0,3
M005,East Coast Park,2025-02-24,P01,Coca-Cola,Soda,3,2,0,Monday,1,2
M002,Orchard Road,2025-01-19,P07,Yeo’s Grass Jelly,Herbal,7,12,0,Sunday,0,2
M005,East Coast Park,2025-01-27,P02,Pepsi,Soda,5,9,0,Monday,0,1
M004,Khoo Teck Puat Hospital,2025-01-13,P09,Fuze Tea,Tea,5,8,0,Monday,0,2
M005,East Coast Park,2025-02-08,P02,Pepsi,Soda,2,9,0,Saturday,1,2
M001,Changi Airport,2025-01-07,P01,Coca-Cola,Soda,8,7,0,Tuesday,0,1
M005,East Coast Park,2025-02-24,P11,A&W Root Beer,Soda,4,14,0,Monday,0,1
M001,Changi Airport,2025-02-11,P09,Fuze Tea,Tea,8,10,0,Tuesday,0,3
M004,Khoo Teck Puat Hospital,2025-02-05,P08,Milo,Malt,2,3,0,Wednesday,0,1
M001,Changi Airport,2025-02-16,P14,Nestle Teh Tarik,Tea,8,11,1,Sunday,0,1
M005,East Coast Park,2025-01-22,P02,Pepsi,Soda,2,10,0,Wednesday,0,1
M001,Changi Airport,2025-02-26,P05,100Plus,Isotonic,6,2,0,Wednesday,0,2
M005,East Coast Park,2025-02-23,P08,Milo,Malt,4,3,0,Sunday,0,3
M004,Khoo Teck Puat Hospital,2025-02-14,P10,Green Tea,Tea,3,4,1,Friday,0,1
M001,Changi Airport,2025-02-28,P08,Milo,Malt,8,1,0,Friday,0,1
M002,Orchard Road,2025-01-08,P14,Nestle Teh Tarik,Tea,5,5,0,Wednesday,0,2
M002,Orchard Road,2025-01-06,P08,Milo,Malt,4,2,0,Monday,0,2
M002,Orchard Road,2025-02-13,P15,Lipton Iced Tea,Tea,4,4,0,Thursday,0,1
M002,Orchard Road,2025-02-24,P07,Yeo’s Grass Jelly,Herbal,9,11,0,Monday,0,3
M005,East Coast Park,2025-01-16,P08,Milo,Malt,2,11,1,Thursday,0,1
M005,East Coast Park,2025-02-26,P15,Lipton Iced Tea,Tea,2,6,1,Wednesday,0,2
M002,Orchard Road,2025-02-21,P03,Sprite,Soda,7,13,0,Friday,0,1
M001,Changi Airport,2025-01-02,P06,Pokka Soursop,Juice,5,0,0,Thursday,0,3
M004,Khoo Teck Puat Hospital,2025-01-26,P05,100Plus,Isotonic,2,6,0,Sunday,0,3
M004,Khoo Teck Puat Hospital,2025-01-22,P06,Pokka Soursop,Juice,4,0,0,Wednesday,0,3
M002,Orchard Road,2025-01-30,P07,Yeo’s Grass Jelly,Herbal,2,13,0,Thursday,0,2
M005,East Coast Park,2025-01-09,P14,Nestle Teh Tarik,Tea,3,1,1,Thursday,0,2
M002,Orchard Road,2025-01-25,P12,Nestea Iced Tea,Tea,5,12,1,Saturday,1,2
M005,East Coast Park,2025-01-01,P15,Lipton Iced Tea,Tea,0,8,0,Wednesday,0,1
M004,Khoo Teck Puat Hospital,2025-02-03,P12,Nestea Iced Tea,Tea,4,14,1,Monday,0,1
M004,Khoo Teck Puat Hospital,2025-01-31,P05,100Plus,Isotonic,5,12,0,Friday,0,3
M003,Singapore Management University,2025-01-19,P06,Pokka Soursop,Juice,5,2,0,Sunday,0,2
M002,Orchard Road,2025-01-11,P03,Sprite,Soda,4,6,0,Saturday,0,1
M003,Singapore Management University,2025-01-28,P08,Milo,Malt,7,11,0,Tuesday,0,1
M004,Khoo Teck Puat Hospital,2025-02-06,P15,Lipton Iced Tea,Tea,4,5,0,Thursday,0,3
M003,Singapore Management University,2025-02-04,P01,Coca-Cola,Soda,4,5,0,Tuesday,0,2
M002,Orchard Road,2025-01-05,P07,Yeo’s Grass Jelly,Herbal,6,14,0,Sunday,0,3
M001,Changi Airport,2025-01-05,P03,Sprite,Soda,7,4,0,Sunday,0,1
M005,East Coast Park,2025-01-18,P03,Sprite,Soda,2,0,0,Saturday,0,3
M002,Orchard Road,2025-02-22,P07,Yeo’s Grass Jelly,Herbal,6,3,1,Saturday,0,2
M003,Singapore Management University,2025-02-09,P12,Nestea Iced Tea,Tea,7,9,0,Sunday,0,1
M001,Changi Airport,2025-01-17,P12,Nestea Iced Tea,Tea,8,0,0,Friday,0,1
M002,Orchard Road,2025-01-10,P09,Fuze Tea,Tea,8,11,0,Friday,0,3
M001,Changi Airport,2025-01-22,P02,Pepsi,Soda,6,0,0,Wednesday,0,3
M004,Khoo Teck Puat Hospital,2025-01-05,P04,Fanta,Soda,3,7,0,Sunday,0,1
M003,Singapore Management University,2025-02-20,P10,Green Tea,Tea,5,0,1,Thursday,0,2
M004,Khoo Teck Puat Hospital,2025-01-31,P13,Chrysanthemum Tea,Herbal,3,9,0,Friday,0,2
